tag,avg_raw,raw_2024,trend_2024,oracle_2024,meanp_2024,sdp_2024,raw_2023,trend_2023,oracle_2023,meanp_2023,sdp_2023,stage,k,target,how,i,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,max_bin
G104,740.2451960601352,780.631261024689,799.3496546694013,812.0194660465207,0.4949636161327362,0.03945036232471466,699.8591310955815,639.8730161547794,705.4440863518918,0.4962194859981537,0.03775901719927788,G,,,,104.0,1400.0,0.005,6.0,300.0,0.9,0.25,400.0,30.0,256.0
G105,732.2330418540857,777.2908211135854,808.8281529171626,821.635160933476,0.4966219365596771,0.04480062797665596,687.175262594586,633.4416749364635,698.8696939850714,0.49454763531684875,0.042117729783058167,G,,,,105.0,1400.0,0.012,5.0,800.0,0.7,0.25,30.0,5.0,64.0
G106,716.5452545273399,746.8212370673077,785.7850826018198,798.5384049767008,0.4974636137485504,0.04529111087322235,686.269271987372,637.3398187332846,702.7678377818925,0.49352607131004333,0.042389679700136185,G,,,,106.0,1000.0,0.03,3.0,300.0,1.0,0.55,30.0,5.0,64.0
G107,696.6982021327173,696.147956630122,714.6814330654782,727.2975588011543,0.49493399262428284,0.03594157472252846,697.2484476353125,633.8529469884224,699.5372660114297,0.49756932258605957,0.03443920984864235,G,,,,107.0,500.0,0.008,3.0,300.0,0.7,0.7,100.0,30.0,64.0
G108,654.1467226197417,650.556916914835,675.4551243950857,688.0772152020431,0.4957933723926544,0.03342634439468384,657.7365283246484,591.9449209402461,657.8318957569884,0.4994999170303345,0.03226650878787041,G,,,,108.0,700.0,0.005,3.0,3000.0,0.7,0.25,30.0,5.0,256.0
G109,744.5872486829264,764.8178570883734,785.7791175305496,798.4191035513066,0.4952775239944458,0.03885319456458092,724.3566402774793,663.6969928457859,729.2859444364641,0.496457040309906,0.037206921726465225,G,,,,109.0,1400.0,0.003,5.0,300.0,1.0,0.55,100.0,30.0,256.0
G110,728.0941727962786,748.1633781030173,779.0505171381801,791.8038395130723,0.4965379536151886,0.04234061390161514,708.02496748954,652.461517223435,717.9372199882073,0.49497994780540466,0.04007134959101677,G,,,,110.0,700.0,0.02,3.0,1500.0,1.0,0.4,100.0,5.0,64.0
G111,741.895168722534,770.12677051852,779.6410591938918,792.257184929579,0.4935488700866699,0.039733096957206726,713.6635669265479,656.7888144657808,722.0976242239718,0.49537041783332825,0.03760556876659393,G,,,,111.0,1400.0,0.005,5.0,6000.0,0.7,0.55,1500.0,30.0,64.0
G112,629.3572806320869,620.0217170845846,668.2672135149503,680.8236885379348,0.4984387159347534,0.03043896146118641,638.6928441795892,573.2588646664593,639.2531278445746,0.5011471509933472,0.029427384957671165,G,,,,112.0,700.0,0.003,5.0,300.0,0.9,0.7,1500.0,1.0,256.0
G113,729.2484190278781,758.2025930501391,799.6479082328922,812.3415798950817,0.4977392852306366,0.04574478045105934,700.2942450056171,652.652252088115,718.1935199626178,0.49326038360595703,0.04226645082235336,G,,,,113.0,500.0,0.03,4.0,800.0,1.0,0.7,5.0,1.0,64.0
G114,678.9419802934682,688.4351194782367,712.6652389762734,725.2634694981497,0.4957084655761719,0.03325648605823517,669.4488411086996,603.5737872210012,669.4905643603422,0.49970564246177673,0.031732525676488876,G,,,,114.0,500.0,0.005,6.0,3000.0,0.7,0.4,30.0,30.0,256.0
G115,464.1212860062194,419.3626846388687,529.1438562887607,541.6884011692158,0.503584623336792,0.02235492877662182,508.87988737357006,463.741289554942,530.0991410688516,0.5072193145751953,0.02191750518977642,G,,,,115.0,350.0,0.003,4.0,800.0,0.9,0.7,400.0,5.0,64.0
G116,742.2480861932702,757.928199771718,787.6044293391171,800.3935421416197,0.49639347195625305,0.04224725812673569,726.5679726148222,672.5780849823004,737.9941831018643,0.49461767077445984,0.04012493044137955,G,,,,116.0,1000.0,0.012,3.0,1500.0,0.9,0.55,5.0,0.0,256.0
G117,721.1854771594583,769.9776437367744,801.4911152552706,814.3100534141246,0.4966115355491638,0.04608520120382309,672.3933105821422,619.0531135824128,684.2307931211323,0.4945147633552551,0.04422752186655998,G,,,,117.0,700.0,0.03,6.0,1500.0,0.5,0.4,100.0,1.0,128.0
G118,721.3077439944537,747.0240494904746,772.739471734707,785.3555974703829,0.4958988428115845,0.036712050437927246,695.5914384984329,631.7429425479304,697.3616964612183,0.497855007648468,0.03553643822669983,G,,,,118.0,350.0,0.012,7.0,300.0,0.7,0.7,1500.0,1.0,64.0
G119,744.7949830829303,770.2520370151844,789.9964229183154,802.7199199368562,0.49511194229125977,0.04041954129934311,719.3379291506762,660.1326350621495,725.6441006140535,0.49598950147628784,0.03843452408909798,G,,,,119.0,700.0,0.008,5.0,1500.0,0.7,0.4,100.0,5.0,64.0
G120,720.1320764170682,735.5353222247895,754.4982837915715,767.0965143134479,0.4949973523616791,0.037386272102594376,704.7288306093469,644.3195226875531,709.836948703968,0.49638715386390686,0.03597480431199074,G,,,,120.0,1000.0,0.005,4.0,300.0,0.7,0.7,1500.0,5.0,128.0
G121,697.8498222190156,745.6938385973056,778.4122545123063,791.2013673148199,0.4967597723007202,0.04518004506826401,650.0058058407254,596.6417669829083,661.9982604572639,0.49447640776634216,0.04293743520975113,G,,,,121.0,700.0,0.03,6.0,300.0,0.5,0.25,100.0,5.0,64.0
G122,739.966937385439,762.354282653932,778.7105080757972,791.3743543816465,0.4946257770061493,0.03956007584929466,717.5795921169458,657.9093817957627,723.373163631491,0.4961554706096649,0.037827495485544205,G,,,,122.0,700.0,0.008,5.0,3000.0,0.7,0.4,400.0,1.0,64.0
G123,745.4403058852977,797.5303079321039,823.8064468756967,836.5597692505888,0.4959767758846283,0.04278572276234627,693.3503038384914,636.8868234296832,702.4102099106311,0.4952014684677124,0.040478333830833435,G,,,,123.0,350.0,0.02,7.0,800.0,1.0,0.4,5.0,30.0,128.0
G124,751.8137801694802,771.1587278481979,795.8064023351196,808.5358644249419,0.4957673251628876,0.040941525250673294,732.4688324907625,676.1841660175904,741.731394356615,0.49515435099601746,0.03893555328249931,G,,,,124.0,500.0,0.012,4.0,300.0,0.7,0.55,30.0,0.0,256.0
G125,756.4496747612116,783.10676560166,808.5835849950929,821.2832217285526,0.4958731234073639,0.04046175256371498,729.792583920763,670.8257084130809,736.3431344295068,0.4959152638912201,0.038775816559791565,G,,,,125.0,200.0,0.02,6.0,1500.0,0.9,0.7,5.0,5.0,64.0
G126,560.4263777470142,547.6832977953871,605.3715020458927,617.9399072114178,0.49935534596443176,0.027032533660531044,573.1694576986413,511.794554524414,578.009354889808,0.5034120082855225,0.026125824078917503,G,,,,126.0,350.0,0.005,7.0,6000.0,0.5,0.4,400.0,30.0,256.0
G127,761.7270629447503,789.2627191521284,798.174535629248,810.8145216500162,0.4934481084346771,0.04061851277947426,734.1914067373723,676.1841660175904,741.5168176338582,0.4956905245780945,0.03871078044176102,G,,,,127.0,1000.0,0.005,7.0,3000.0,0.5,0.55,5.0,1.0,64.0
G128,716.8036265362388,729.0333945406791,760.7675736961639,773.3658042180402,0.49664202332496643,0.03548723831772804,704.5738585317985,639.1816022703223,705.0089724418451,0.4989306628704071,0.03370467573404312,G,,,,128.0,200.0,0.012,7.0,300.0,0.7,0.7,100.0,0.0,64.0
G129,526.7310010978965,491.402850364564,572.951339694372,585.5257099311783,0.5014402866363525,0.026271305978298187,562.059151831229,505.9354179001274,572.1680996590873,0.5049652457237244,0.025564352050423622,G,,,,129.0,200.0,0.008,3.0,1500.0,1.0,0.4,30.0,0.0,128.0
G130,740.3966140310691,771.4271560553376,793.9453000989416,806.5793210484285,0.49548640847206116,0.03867097944021225,709.3660720068007,648.5812548201686,714.0927203720726,0.4965243339538574,0.03735032677650452,G,,,,130.0,1000.0,0.005,6.0,800.0,1.0,0.55,1500.0,0.0,256.0
G131,726.4150239949586,752.5715657714205,786.0714060227702,798.8724489678134,0.49684610962867737,0.044436465948820114,700.2584822184965,651.3767126805848,716.6795619742428,0.4935530722141266,0.04216639697551727,G,,,,131.0,1400.0,0.02,3.0,3000.0,0.7,0.4,30.0,5.0,128.0
G132,753.5002820099778,801.2286521194012,819.2670276393587,831.9964897291699,0.4948680102825165,0.04404781386256218,705.7719119005545,654.756296064074,719.9578174608812,0.49401146173477173,0.042488522827625275,G,,,,132.0,1400.0,0.012,6.0,3000.0,0.5,0.4,100.0,5.0,256.0
G133,681.8048347803528,700.8961533609081,715.6239143261023,728.1863544203682,0.49437302350997925,0.034754425287246704,662.7135161997977,599.7054457467788,665.4076461633629,0.4973617196083069,0.03289470821619034,G,,,,133.0,700.0,0.005,6.0,6000.0,0.5,0.55,1500.0,0.0,256.0
G134,637.3269268041159,636.7656721389947,672.5859251142996,685.1781905649057,0.49711185693740845,0.030974866822361946,637.8881814692372,572.6687786788642,638.7107255731551,0.5013805627822876,0.029889192432165146,G,,,,134.0,500.0,0.005,5.0,1500.0,0.9,0.25,400.0,5.0,256.0
G135,737.7129555058204,752.2375217803079,772.4770085988264,785.1766453322972,0.49517425894737244,0.04020566865801811,723.1883892313328,667.4759273522013,732.9456696524517,0.49502480030059814,0.038501232862472534,G,,,,135.0,700.0,0.012,3.0,800.0,0.5,0.55,400.0,0.0,64.0
G136,586.5374008865942,581.6842040334058,633.4371623704204,646.0174976784972,0.4987886846065521,0.027726244181394577,591.3905977397826,530.659424733837,596.8861460282749,0.5036444664001465,0.026512669399380684,G,,,,136.0,350.0,0.005,6.0,3000.0,1.0,0.25,5.0,1.0,64.0
G137,761.5390253314258,796.2478176090971,825.2142036953791,837.9317356426496,0.4963090121746063,0.0438147708773613,726.8302330537546,675.7192497849451,740.9982572205154,0.4940122663974762,0.042305707931518555,G,,,,137.0,1000.0,0.012,6.0,3000.0,0.9,0.7,30.0,30.0,256.0
G138,709.7542400413381,741.5242537797018,780.3687978888086,793.1996661902141,0.49744975566864014,0.04508144408464432,677.9842263029745,625.8122803493915,691.1866552173129,0.4942111372947693,0.04281000792980194,G,,,,138.0,1000.0,0.03,3.0,800.0,0.5,0.25,30.0,1.0,128.0
G139,712.3763857250053,732.6184023738414,751.3069706622133,764.0006423244027,0.49496081471443176,0.03880558907985687,692.1343690761694,632.0111634513847,697.5941545775411,0.49626424908638,0.0369887538254261,G,,,,139.0,700.0,0.012,3.0,800.0,1.0,0.25,1500.0,1.0,128.0
G140,246.63624732171317,188.83654034511642,377.6966618191158,390.23524162830057,0.5085319876670837,0.014070237055420876,304.4359542983099,308.03607486907805,374.54889846053607,0.5131707787513733,0.013561517000198364,G,,,,140.0,200.0,0.003,6.0,1500.0,0.5,0.4,400.0,0.0,256.0
G141,719.215588067601,785.5285845372096,814.4353199108001,827.2423279271135,0.49630624055862427,0.04467226192355156,652.9025915979925,601.3147711674937,666.5043716352459,0.4941280484199524,0.0429668202996254,G,,,,141.0,500.0,0.03,7.0,300.0,0.5,0.55,100.0,30.0,256.0
G142,505.5025757001341,475.36873879127086,572.9334444805722,585.4899195035567,0.5026928782463074,0.023098984733223915,535.6364126089974,486.116873367326,552.4628039521806,0.5064264535903931,0.022199023514986038,G,,,,142.0,350.0,0.003,7.0,3000.0,1.0,0.7,400.0,5.0,256.0
G143,740.5264790653343,806.7403779727144,825.4170161185459,838.1524432796273,0.49495837092399597,0.045226287096738815,674.3125801579541,623.3744503602478,688.4209996794955,0.4940291941165924,0.04375576972961426,G,,,,143.0,1000.0,0.03,6.0,6000.0,0.9,0.4,1500.0,0.0,128.0
G144,748.9248354325962,799.182632673845,809.2397428347775,821.9393795682373,0.493645042181015,0.04317554831504822,698.6670381913474,643.723476235436,708.8773139160676,0.49491631984710693,0.041566867381334305,G,,,,144.0,700.0,0.02,7.0,6000.0,0.9,0.25,100.0,0.0,256.0
G145,732.1916045549881,785.7492921741982,799.826860370989,812.6159731735028,0.4942876398563385,0.043107978999614716,678.633916935778,626.4202477305525,691.7528993468203,0.494236558675766,0.04110394045710564,G,,,,145.0,700.0,0.03,4.0,6000.0,0.7,0.25,30.0,30.0,128.0
G146,759.4273766157955,799.7075589455949,825.625793612994,838.3850810591564,0.4959293007850647,0.044853802770376205,719.1471942859962,666.3195972350989,731.6105255997129,0.4943833649158478,0.042965784668922424,G,,,,146.0,1000.0,0.012,7.0,1500.0,0.5,0.55,30.0,5.0,128.0
G147,728.0404295704923,747.906880038407,761.781635812031,774.4753074742206,0.49425560235977173,0.039275769144296646,708.1739791025776,648.23554787794,713.7231715717562,0.4962449371814728,0.037573374807834625,G,,,,147.0,200.0,0.03,4.0,3000.0,0.7,0.4,5.0,30.0,64.0
G148,740.4179146345668,803.4357284892324,817.2985541203159,830.0220511388568,0.49425530433654785,0.04497737064957619,677.4001007799013,624.6380688387343,689.577329796598,0.4944506287574768,0.043104302138090134,G,,,,148.0,700.0,0.03,7.0,6000.0,0.7,0.4,400.0,0.0,64.0
G149,728.1191271841735,751.0445075263439,767.1144095272587,779.688779764054,0.4945749044418335,0.037427034229040146,705.1937468420033,642.7757623765684,708.2991488575163,0.49717432260513306,0.035723958164453506,G,,,,149.0,500.0,0.008,7.0,3000.0,0.7,0.7,1500.0,1.0,128.0
G150,721.8290227236579,761.781635812031,767.651265941538,780.309147176117,0.4929124712944031,0.03864225372672081,681.8764096352847,621.1631180229049,686.6805440393309,0.4964931607246399,0.03676740825176239,G,,,,150.0,500.0,0.012,6.0,6000.0,0.7,0.25,400.0,1.0,128.0
G151,713.0083288940991,740.6831787306501,768.5877821309028,781.1800475815089,0.4961725175380707,0.0363054983317852,685.3334790575483,621.7174412233684,687.3719579237769,0.49770474433898926,0.03471217676997185,G,,,,151.0,200.0,0.02,7.0,300.0,0.9,0.55,1500.0,30.0,256.0
