shard,ci,avg,raw_2024,trend_2024,oracle_2024,sdp_2024,raw_2022,trend_2022,oracle_2022,sdp_2022,arch,k,h,L,emb,drop,plr,film,lr,wd,bs,d,heads
0,51,445.62917824535475,622.5231847575841,738.890965835326,740.6083074161795,0.048321206122636795,268.73517173312547,249.39241053261173,272.46066503060496,0.04959292709827423,TabM,8.0,256.0,3.0,0.0,0.1,True,True,0.002,0.0001,16384,,
0,52,312.00100333721446,624.0020066744289,741.8724616354177,743.6196181742738,0.04845542460680008,0.0,32.78924982251796,55.213739078707746,0.05030730739235878,TabM,32.0,256.0,2.0,0.0,0.1,True,True,0.002,0.0001,16384,,
0,53,199.60457466520754,399.2091493304151,425.87564776647156,427.67050823813156,0.06581051647663116,0.0,97.49957820242017,117.00924150265246,0.06084543094038963,TabM,64.0,512.0,2.0,0.0,0.1,True,True,0.002,0.001,16384,,
0,54,358.496121963775,535.2249877307869,609.49404811117,611.3783534568262,0.04853280261158943,181.76725619676316,213.69324355884345,236.03428176516283,0.055516671389341354,TabM,32.0,512.0,2.0,0.0,0.1,False,True,0.002,0.01,16384,,
0,55,345.75294703634296,476.0422960988886,610.3109779603932,612.1177644152542,0.05629698559641838,215.46359797379733,246.65640825494162,268.83054436153134,0.05112417787313461,TabM,64.0,128.0,3.0,0.0,0.1,True,True,0.002,0.0001,16384,,
0,56,146.15340641755404,188.07154275084503,409.3521980423453,411.0814656063999,0.05977821722626686,104.23527008426304,97.90491187318118,119.70947904467178,0.05538185313344002,TabM,64.0,128.0,3.0,0.0,0.1,False,True,0.002,0.001,16384,,
0,57,560.6826725500446,661.9504852180546,690.8173275545826,692.5167801606347,0.05026845261454582,459.41485988203465,438.1825284810348,460.47588037315677,0.04624383896589279,Hier,,256.0,,,0.1,,,0.003,0.0001,16384,,
0,58,182.80980882326992,365.61961764653984,555.749604818645,557.2403527186909,0.05461783707141876,0.0,0.0,0.0,0.06771696358919144,TabM,64.0,128.0,2.0,0.0,0.1,True,True,0.002,0.01,16384,,
0,59,420.4992689270548,578.3195280253727,654.2761150286069,655.9576786598575,0.054442983120679855,262.6790098287368,255.66912164020073,277.8074930111396,0.051407765597105026,TabM,32.0,128.0,2.0,0.0,0.1,True,True,0.002,0.0001,16384,,
0,60,333.7331262241172,667.4662524482344,736.4878802204489,738.151554876898,0.05005835369229317,0.0,88.44513929222586,110.93519723044398,0.05855017155408859,Hier,,128.0,,,0.1,,,0.001,0.001,16384,,
0,61,328.54830502774826,657.0966100554965,722.856481422407,724.5201560788561,0.05081415921449661,0.0,85.71509780382902,108.28264600264426,0.05734756588935852,Hier,,128.0,,,0.1,,,0.001,0.01,16384,,
0,62,302.5470700235899,480.93791220263915,499.0236657260283,500.2401160124625,0.06356022506952286,124.15622784454072,145.33491214204776,167.05602826367905,0.05799713358283043,TabM,64.0,512.0,3.0,0.0,0.1,False,True,0.002,0.0001,16384,,
0,63,358.9215876765639,547.4073795699752,660.0840688471887,661.8431513692458,0.051757413893938065,170.4357957831526,156.2908428312748,178.41729262366712,0.05927959084510803,TabM,32.0,256.0,3.0,0.0,0.1,False,True,0.002,0.01,16384,,
0,64,308.8685036218619,561.7245224020406,659.4341027627681,661.1812593016242,0.05199243500828743,56.0124848416832,80.77956428332867,102.30397435884164,0.05724247917532921,TabM,64.0,256.0,2.0,0.0,0.1,False,True,0.002,0.01,16384,,
0,65,355.0522878010554,624.0556735988334,684.0075911471621,685.7010807616138,0.05139102041721344,86.0489020032773,102.38146461942765,124.52579677965092,0.05757327377796173,TabM,64.0,256.0,2.0,0.0,0.1,True,True,0.002,0.001,16384,,
0,66,410.3399917927908,566.9898439849997,738.0621100028906,739.6840437181473,0.044729724526405334,253.69013960058194,249.61892052509648,272.63948870888123,0.05077708885073662,TabM,8.0,256.0,3.0,0.0,0.1,True,True,0.002,0.001,16384,,
0,67,92.45856009716947,184.91712019433893,220.7785516778915,222.7045979647513,0.07408357411623001,0.0,0.0,0.0,0.06681198626756668,TabM,64.0,512.0,3.0,0.0,0.1,True,True,0.002,0.0001,16384,,
0,68,391.70136067641636,587.2282374760563,692.9759305138506,694.6634571367016,0.046232566237449646,196.1744838767765,403.5563035769463,426.1655773006856,0.04703472554683685,FTT,,,3.0,,0.1,,,0.001,0.001,8192,64.0,4.0
