raw,trend,oracle,meanp,stage,name,val,nfeat,i,avg_raw,raw_2024,trend_2024,oracle_2024,meanp_2024,raw_2023,trend_2023,oracle_2023,meanp_2023,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda
488.99296157155493,553.755740348072,566.896792355498,0.4999951422214508,featset,base48,2024.0,46.0,,,,,,,,,,,,,,,,,
266.2532185758515,203.91272014920193,269.108281081476,0.4972397983074188,featset,base48,2023.0,46.0,,,,,,,,,,,,,,,,,
615.7566911266565,652.8534693537091,665.9110103633625,0.49726325273513794,featset,deconv,2024.0,74.0,,,,,,,,,,,,,,,,,
441.270338310229,390.3679712996544,455.77214849017446,0.49389156699180603,featset,deconv,2023.0,74.0,,,,,,,,,,,,,,,,,
606.916455504769,657.0528795276754,670.1760363212906,0.4986339211463928,featset,full,2024.0,90.0,,,,,,,,,,,,,,,,,
414.39460378438486,358.1337791693007,423.5856400759963,0.4951131045818329,featset,full,2023.0,90.0,,,,,,,,,,,,,,,,,
620.6898050668098,669.3051359158985,682.3925022819033,0.49847841262817383,featset,no_clutch,2024.0,85.0,,,,,,,,,,,,,,,,,
397.1867427118414,341.13453435499207,406.6638813004619,0.4950510561466217,featset,no_clutch,2023.0,85.0,,,,,,,,,,,,,,,,,
615.7566911266565,652.8534693537091,665.9110103633625,0.49726325273513794,featset,no_tm,2024.0,74.0,,,,,,,,,,,,,,,,,
441.270338310229,390.3679712996544,455.77214849017446,0.49389156699180603,featset,no_tm,2023.0,74.0,,,,,,,,,,,,,,,,,
,,,,search,,,,35.0,0.0,0.0,1.8255909647657553,15.903159161556601,0.5000618696212769,0.0,0.0,0.0,0.49877873063087463,1200.0,0.08,8.0,1000.0,0.6,0.8,100.0
,,,,search,,,,36.0,168.32848574135363,336.65697148270726,405.52968436413653,419.0703961466369,0.5003746747970581,0.0,0.0,0.0,0.4971129894256592,2000.0,0.03,7.0,400.0,0.6,0.6,5.0
,,,,search,,,,37.0,0.0,0.0,0.0,0.0,0.5017811059951782,0.0,0.0,0.0,0.4996936619281769,2000.0,0.08,5.0,150.0,0.8,0.8,20.0
,,,,search,,,,38.0,633.0891454920329,706.509285425816,750.9490663860197,763.91116625536,0.4980517029762268,559.6690055582499,505.8579318613532,571.083295116237,0.4946063160896301,1200.0,0.02,7.0,1000.0,0.8,0.8,100.0
,,,,search,,,,39.0,157.6748684534446,315.3497369068892,367.67534208580474,381.2637744384784,0.49884435534477234,0.0,0.0,0.0,0.49699580669403076,800.0,0.08,5.0,50.0,1.0,0.8,1.0
,,,,search,,,,40.0,711.4828905894599,757.2601117895039,791.338563954025,804.1932925405005,0.49691304564476013,665.7056693894159,615.542399979463,680.8571702021649,0.4938102662563324,800.0,0.03,4.0,1000.0,0.6,0.4,100.0
,,,,search,,,,41.0,665.4803027870137,727.106676520528,773.9861716300923,786.9124810718109,0.4983016848564148,603.8539290534994,549.8640414209666,615.2980209340964,0.4945897161960602,1200.0,0.03,4.0,400.0,0.6,0.6,5.0
,,,,search,,,,42.0,603.2207631837761,666.6387490582792,708.8714536486629,721.8574138030731,0.4978211224079132,539.8027773092729,487.98845922696233,553.5416480305089,0.49408555030822754,800.0,0.02,7.0,50.0,0.6,0.4,1.0
,,,,search,,,,43.0,694.5830618713067,752.30910263554,787.3538963457771,800.2265201460634,0.49702703952789307,636.8570211070735,582.7002404679482,647.8719595421567,0.49471861124038696,500.0,0.03,7.0,1000.0,0.6,0.8,20.0
,,,,search,,,,44.0,674.4061402022994,734.9328500265373,780.3210773186576,793.2235264752951,0.4981519877910614,613.8794303780614,560.7240077784903,626.2473942594382,0.49438223242759705,800.0,0.03,5.0,400.0,0.8,0.6,1.0
,,,,search,,,,45.0,69.35602323238088,138.71204646476176,206.58859244412352,220.28439607965078,0.5002821087837219,0.0,0.0,0.0,0.49788257479667664,800.0,0.05,8.0,50.0,0.8,0.6,20.0
,,,,search,,,,46.0,0.0,0.0,0.0,0.0,0.5047956705093384,0.0,0.0,0.0,0.4979536533355713,2000.0,0.08,7.0,400.0,1.0,0.6,20.0
,,,,search,,,,47.0,0.0,0.0,38.59429027197603,52.66589339749661,0.5009724497795105,0.0,0.0,0.0,0.49755990505218506,2000.0,0.05,8.0,1000.0,0.8,0.6,5.0
,,,,search,,,,48.0,633.9116093119824,714.0193101545234,758.2622437628306,771.2004833470897,0.4980335533618927,553.8039084694412,503.31281351082555,568.681227914225,0.49384602904319763,1200.0,0.03,5.0,150.0,1.0,0.4,100.0
,,,,search,,,,49.0,628.5877141024298,703.1927057997822,745.5566419581006,758.5127767561595,0.49783942103385925,553.9827224050775,501.04187652827426,566.5533420801671,0.4943251311779022,800.0,0.02,7.0,150.0,0.8,0.8,1.0
,,,,search,,,,50.0,283.70812227600516,430.07595263947485,501.69856337628494,515.0543579494293,0.5006079077720642,137.3402919125355,79.51186512838993,145.07101439645842,0.49545589089393616,1200.0,0.08,4.0,400.0,0.6,0.8,1.0
,,,,search,,,,51.0,398.49203932715295,531.1123298078036,588.8542196997415,602.1265032751022,0.49935227632522583,265.8717488465023,209.12812660519586,273.78724573058344,0.49550196528434753,500.0,0.08,7.0,1000.0,0.6,0.4,100.0
