raw,trend,oracle,meanp,stage,name,val,nfeat,i,avg_raw,raw_2024,trend_2024,oracle_2024,meanp_2024,raw_2023,trend_2023,oracle_2023,meanp_2023,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,epochs,shrink,nn,w
613.6987415385709,647.8607047008644,660.7213983586213,0.4969162344932556,A,base48,2024.0,46.0,,,,,,,,,,,,,,,,,,,,,,
471.1561074192461,406.3360557517992,471.95480966508717,0.49853014945983887,A,base48,2023.0,46.0,,,,,,,,,,,,,,,,,,,,,,
781.6990087819886,808.8937687011244,821.6590212185571,0.4960932731628418,A,deconv,2024.0,69.0,,,,,,,,,,,,,,,,,,,,,,
714.2178901270113,664.2751579043371,729.7449002045986,0.49372410774230957,A,deconv,2023.0,69.0,,,,,,,,,,,,,,,,,,,,,,
787.3896867733987,821.7067417887191,834.4719943061407,0.4969450533390045,A,deconv+tm,2024.0,85.0,,,,,,,,,,,,,,,,,,,,,,
705.9805281587894,653.9158705665903,719.3319686861544,0.4941845238208771,A,deconv+tm,2023.0,85.0,,,,,,,,,,,,,,,,,,,,,,
776.2171082850156,803.3462524201896,816.0995747950817,0.4960831105709076,A,deconv+cl,2024.0,74.0,,,,,,,,,,,,,,,,,,,,,,
712.5072368094454,662.695634806243,728.1415352484055,0.4937068819999695,A,deconv+cl,2023.0,74.0,,,,,,,,,,,,,,,,,,,,,,
785.8089428868898,815.5030676680997,828.2623551142509,0.4963979721069336,A,full,2024.0,90.0,,,,,,,,,,,,,,,,,,,,,,
703.7036307117162,650.3038290667785,715.6782039346998,0.494493693113327,A,full,2023.0,90.0,,,,,,,,,,,,,,,,,,,,,,
,,,,B,,,,34.0,737.6244234861163,746.7854466396861,777.5055636792927,790.2946764818064,0.4965212643146515,728.4634003325463,675.1708870489925,740.5631433104797,0.49446195363998413,600.0,0.02,3.0,1500.0,0.7,0.5,50.0,10.0,,,,
,,,,B,,,,35.0,738.1493408785022,755.5302411212494,790.491523833714,803.2030907097143,0.49701619148254395,720.768440635755,671.7674618074266,737.1299157462929,0.4935639202594757,900.0,0.02,3.0,200.0,0.7,0.7,200.0,0.0,,,,
,,,,B,,,,36.0,748.8879824811333,780.9235495169098,812.3952655365141,825.1724481964873,0.49660998582839966,716.852415445357,668.2209854173449,733.6013207497772,0.49348559975624084,900.0,0.02,4.0,200.0,0.5,0.7,50.0,10.0,,,,
,,,,B,,,,37.0,507.4973645671665,477.9933701499983,559.995204896313,572.5695751331084,0.5014745593070984,537.0013589843347,482.6776853386172,548.9461298847087,0.5054030418395996,150.0,0.012,3.0,200.0,0.5,0.3,800.0,1.0,,,,
,,,,B,,,,38.0,638.757895992409,622.5151168753773,665.02817981543,677.6025500522254,0.4978431761264801,655.0006751094406,589.250790976692,655.2450541548071,0.5007169842720032,400.0,0.005,4.0,1500.0,0.7,0.7,200.0,1.0,,,,
,,,,B,,,,39.0,641.4027256051447,626.0464390671073,672.1445098403334,684.7308102196691,0.49822160601615906,656.7590121431821,591.5932535335066,657.6352004277863,0.5014480948448181,150.0,0.012,5.0,1500.0,0.5,0.7,200.0,1.0,,,,
,,,,B,,,,40.0,742.4035245548522,782.2895508377004,809.9913418147753,822.7148388333161,0.49615585803985596,702.517498272004,649.2547873110599,714.6410831080141,0.49445345997810364,400.0,0.03,5.0,200.0,0.7,0.3,200.0,0.0,,,,
,,,,B,,,,41.0,477.62047886912296,431.5373951005785,530.5098576095513,543.0842278463466,0.5027928352355957,523.7035626376673,474.8158326352336,541.1736841491321,0.5065405964851379,150.0,0.008,3.0,4000.0,0.9,0.7,200.0,10.0,,,,
,,,,B,,,,42.0,579.8223729426733,572.5039593491355,621.9722953898166,634.5407005553416,0.4985583424568176,587.1407865362111,524.240004444565,590.4250024873603,0.5028079152107239,250.0,0.008,6.0,4000.0,0.5,0.3,800.0,1.0,,,,
,,,,B,,,,43.0,698.9512442356016,703.830968425656,719.7517436448253,732.3499741667017,0.4945569932460785,694.0715200455472,632.6608540841883,698.2915289265202,0.4967151880264282,900.0,0.005,3.0,600.0,0.7,0.7,800.0,0.0,,,,
,,,,B,,,,44.0,681.6319322701048,685.3332824179215,708.2152958089782,720.8194914021249,0.4955280125141144,677.9305821222881,613.0270839515339,678.8008099423704,0.4985010325908661,150.0,0.02,4.0,4000.0,0.7,0.5,200.0,10.0,,,,
,,,,B,,,,45.0,744.703049981732,779.1459582784933,800.8647827719373,813.5823147192078,0.495382159948349,710.2601416849708,654.5238379477514,720.0531848932101,0.49501433968544006,400.0,0.02,5.0,600.0,0.7,0.3,10.0,10.0,,,,
,,,,B,,,,46.0,744.0088427724811,787.3479312745069,814.0595204207957,826.7591571542554,0.4960302412509918,700.6697542704554,646.5964201346263,712.1972926543485,0.4945867955684662,400.0,0.02,6.0,600.0,0.9,0.3,10.0,1.0,,,,
,,,,B,,,,47.0,711.3716489694333,731.5864450441634,743.2600895192154,755.9060406112538,0.49390584230422974,691.1568528947032,628.4885289193909,694.1430456197994,0.49723899364471436,150.0,0.03,4.0,1500.0,0.5,0.3,200.0,1.0,,,,
,,,,B,,,,48.0,722.4710454232786,741.9239135547762,759.6103498698103,772.2682311043893,0.4948192238807678,703.018177291781,641.4286973947969,707.0772536306836,0.49677690863609314,600.0,0.008,4.0,600.0,0.9,0.3,50.0,10.0,,,,
,,,,B,,,,49.0,722.3961467421658,764.0602930371055,799.5763273776602,812.3415798950817,0.49708637595176697,680.7320004472261,632.2495820322293,697.7550871196114,0.4934231638908386,900.0,0.012,6.0,200.0,0.9,0.7,10.0,1.0,,,,
,,,,B,,,,50.0,563.7870379434695,529.5494811351165,597.3126907603544,609.8989911396901,0.5002726912498474,598.0245947518225,536.876189229396,603.0373454141036,0.5034781694412231,150.0,0.012,3.0,1500.0,0.9,0.5,200.0,10.0,,,,
,,,,B,,,,51.0,743.4498068681128,775.1433954564458,803.0420337854283,815.8072863028609,0.49617671966552734,711.7562182797799,659.3875769970059,724.797714652048,0.4942508935928345,900.0,0.02,4.0,200.0,0.7,0.3,50.0,10.0,,,,
,,,,B,,,,52.0,593.3670590127505,579.0058870332571,633.1389088069295,645.7311742575356,0.49902060627937317,607.7282309922439,544.8274489005978,610.9647632272175,0.5027968287467957,250.0,0.008,4.0,200.0,0.5,0.3,200.0,0.0,,,,
